district,status,balcony,area_kitchen,area_living,area,room,floor,price,age
3.0,2.0,0.0,12.0,42.0,70.0,2,9,20000,3
5.0,2.0,1.0,9.0,27.0,44.0,2,1,16000,3
3.0,3.0,0.0,16.0,42.0,65.0,2,9,25000,3
4.0,2.0,0.0,16.0,42.0,86.0,3,9,10000,1
5.0,3.0,1.0,16.0,42.0,75.0,2,8,18100,3
6.0,2.0,1.0,14.0,27.0,40.0,1,3,18000,3
2.0,3.0,0.0,16.0,42.0,100.0,3,3,34600,3
6.0,3.0,1.0,16.0,42.0,67.0,2,4,21200,3
2.0,3.0,0.0,16.0,42.0,68.0,2,3,23100,3
4.0,2.0,1.0,13.0,27.0,44.0,1,2,19300,3
3.0,3.0,0.0,15.0,27.0,45.0,1,3,17300,3
5.0,3.0,1.0,16.0,42.0,67.0,2,3,21200,3
3.0,2.0,1.0,15.0,39.0,55.0,1,2,17300,3
3.0,3.0,0.0,15.0,27.0,38.0,1,3,25000,3
3.0,3.0,0.0,16.0,42.0,99.0,3,8,32700,3
4.0,2.0,2.0,12.0,42.0,80.0,2,3,21200,3
4.0,3.0,0.0,15.0,39.0,47.0,1,2,27000,3
5.0,2.0,1.0,20.0,18.0,50.0,1,9,13500,3
4.0,2.0,0.0,15.0,39.0,50.0,1,9,20000,3
2.0,2.0,1.0,45.0,42.0,75.0,1,4,22300,3
3.0,2.0,0.0,16.0,42.0,63.0,2,5,27000,3
2.0,2.0,1.0,16.0,42.0,120.0,3,1,17300,3
3.0,2.0,0.0,16.0,42.0,61.0,2,1,13000,3
3.0,2.0,2.0,16.0,42.0,75.0,3,3,16000,3
4.0,2.0,0.0,15.0,27.0,45.0,1,10,17000,3
2.0,2.0,1.0,7.0,35.0,42.0,2,3,15400,3
4.0,2.0,2.0,16.0,42.0,80.0,2,6,17000,3
5.0,1.0,0.0,14.0,39.0,50.0,1,3,7500,3
3.0,3.0,0.0,16.0,42.0,75.0,3,8,18000,3
5.0,3.0,0.0,16.0,42.0,65.0,2,9,19300,3
5.0,2.0,0.0,16.0,42.0,65.0,1,10,15000,3
1.0,2.0,0.0,15.0,23.0,34.0,1,2,7000,2
6.0,2.0,2.0,16.0,42.0,92.0,3,2,17000,3
6.0,3.0,0.0,16.0,42.0,65.0,3,5,25000,3
5.0,1.0,0.0,15.0,27.0,29.0,1,7,8000,3
3.0,2.0,0.0,16.0,42.0,85.0,3,9,17000,3
5.0,2.0,0.0,16.0,42.0,63.0,2,10,19300,3
2.0,2.0,1.0,25.0,25.0,72.0,2,6,16500,3
2.0,2.0,0.0,16.0,42.0,130.0,3,3,23000,3
1.0,2.0,0.0,6.0,26.0,32.0,1,1,14000,3
3.0,2.0,1.0,15.0,20.0,42.0,1,7,18000,3
3.0,3.0,1.0,16.0,42.0,75.0,2,7,57700,3
2.0,2.0,0.0,15.0,27.0,30.0,1,1,14000,3
1.0,2.0,1.0,7.0,27.0,38.0,1,5,12300,1
4.0,3.0,2.0,16.0,42.0,80.0,2,3,21200,3
6.0,2.0,1.0,11.0,28.0,39.0,1,6,15400,3
3.0,2.0,0.0,15.0,27.0,41.0,1,6,19000,3
2.0,1.0,0.0,15.0,39.0,50.0,2,2,15000,3
2.0,3.0,2.0,18.0,18.0,52.0,1,4,15000,3
5.0,1.0,0.0,15.0,27.0,37.0,1,5,10000,3
4.0,3.0,1.0,15.0,27.0,40.0,1,3,16400,3
2.0,2.0,2.0,8.0,66.0,90.0,3,3,19300,2
2.0,3.0,0.0,15.0,27.0,30.0,1,1,17300,3
1.0,1.0,1.0,9.0,16.0,32.0,1,3,7500,1
4.0,3.0,2.0,16.0,42.0,62.0,2,2,19300,3
3.0,3.0,1.0,12.0,58.0,70.0,2,9,20000,3
2.0,2.0,0.0,30.0,15.0,62.0,2,4,46200,3
3.0,3.0,0.0,15.0,39.0,50.0,1,6,27000,3
3.0,2.0,0.0,10.0,27.0,40.0,1,2,13500,3
4.0,3.0,1.0,19.0,30.0,49.0,1,10,19300,3
1.0,3.0,0.0,7.0,33.0,45.0,2,1,15400,2
6.0,3.0,0.0,16.0,42.0,75.0,2,5,27000,3
4.0,2.0,0.0,15.0,39.0,56.0,3,1,15000,3
5.0,2.0,0.0,6.0,28.0,40.0,2,1,8000,2
2.0,2.0,0.0,15.0,27.0,37.0,1,3,15000,2
1.0,3.0,2.0,15.0,39.0,47.0,1,6,23100,3
3.0,3.0,0.0,15.0,39.0,48.0,1,3,16000,3
5.0,2.0,1.0,11.0,29.0,40.0,1,6,15400,3
4.0,2.0,1.0,8.0,27.0,38.0,1,5,14000,3
5.0,3.0,0.0,15.0,27.0,36.0,1,1,12000,3
4.0,2.0,0.0,15.0,39.0,55.0,2,9,10000,1
3.0,2.0,0.0,16.0,42.0,65.0,3,2,10000,1
1.0,3.0,0.0,16.0,42.0,75.0,2,3,15000,3
6.0,3.0,1.0,16.0,42.0,80.0,2,8,21200,3
3.0,3.0,0.0,16.0,42.0,160.0,4,9,27000,3
2.0,3.0,1.0,16.0,42.0,60.0,2,2,17300,3
6.0,3.0,0.0,15.0,39.0,49.0,1,6,21200,3
5.0,2.0,1.0,14.0,32.0,72.0,2,2,17300,3
2.0,3.0,1.0,16.0,42.0,80.0,2,10,27000,3
4.0,2.0,2.0,25.0,32.0,90.0,2,2,27000,3
4.0,3.0,1.0,16.0,42.0,75.0,2,3,25000,3
