district,wall_material,status,balcony,area_kitchen,area_living,area,room,floor,superficiality,type_build,price
Галицький, цегла, відмінний,nan,15,75,90,4,3,3, Австрійський,38500
Галицький,nan,nan,nan,nan,nan,40,1,2,3,nan,15400
Личаківський,nan, люкс,1,13,51,64,2,8,10,nan,19300
Сихівський,nan,nan,nan,nan,nan,40,1,3,10,nan,16400
Шевченківський,nan,nan,nan,18,26,44,1,5,10,nan,17300
Шевченківський,nan, люкс,nan,nan,nan,71,2,6,10,nan,34600
Франківський,nan, відмінний,nan,nan,nan,65,2,9,10,nan,19300
Шевченківський,nan,nan,nan,nan,nan,45,1,2,4,nan,16500
Личаківський,nan, люкс,1,nan,nan,92,3,3,7,nan,21200
Франківський,nan, відмінний,1,nan,nan,60,2,5,8,nan,17300
Сихівський,nan, люкс,1,nan,nan,40,1,5,10,nan,13000
Сихівський,nan,nan,nan,nan,nan,32,1,9,10,nan,13500
Шевченківський,nan, відмінний,nan,nan,nan,66,2,10,11,nan,23100
Сихівський,nan, відмінний,nan,nan,nan,46,1,10,10,nan,18000
Галицький,nan,nan,nan,nan,nan,54,2,1,3,nan,15400
Личаківський,nan,nan,nan,nan,nan,54,1,2,9,nan,18000
Сихівський, цегла, відмінний,1,25,nan,46,1,10,10,nan,18000
Франківський, цегла, відмінний,1,11,16,39,1,6,10,nan,15400
Франківський,nan, відмінний,nan,nan,nan,40,1,3,12,nan,17300
Франківський,nan,nan,1,nan,nan,70,2,6,9,nan,18000
Франківський,nan,nan,1,7,nan,16,1,4,5,nan,3000
Сихівський,nan, люкс,nan,nan,nan,47,1,5,10,nan,17300
Шевченківський, цегла, люкс,nan,15,nan,55,2,1,14,nan,18000
Галицький, цегла,nan,1,8,33,41,1,5,5, Сталінка,12300
Личаківський, цегла,nan,2,6,42,58,3,5,5, Хрущовка,8500
Франківський, цегла, відмінний,1,18,15,44,1,2,3, Польський,19300
Франківський,nan,nan,1,nan,nan,48,1,8,10,nan,15000
Галицький,nan, люкс,1,nan,nan,50,1,8,12,nan,30800
Галицький, цегла, відмінний,1,7,30,46,2,3,5,nan,17500
Шевченківський,nan, люкс,nan,13,nan,94,3,7,11,nan,27000
Сихівський, цегла, відмінний,2,nan,nan,72,3,5,5, Хрущовка,20000
Залізничний,nan, люкс,3,nan,nan,99,3,8,11,nan,32700
Личаківський, цегла, відмінний,1,12,nan,41,1,7,10,nan,13000
Шевченківський,nan, люкс,1,nan,nan,52,2,2,10,nan,13500
Шевченківський,nan,nan,1,nan,nan,68,2,2,5,nan,20000
Шевченківський,nan, люкс,1,nan,nan,44,1,3,5,nan,23100
Личаківський,nan,nan,nan,nan,nan,30,1,1,5,nan,11000
Галицький,nan, люкс,nan,nan,nan,75,3,1,3, Австрійський,27000
Шевченківський, цегла, відмінний,1,13,nan,75,2,5,9,nan,20400
Франківський,nan,nan,nan,nan,nan,45,1,2,10,nan,13000
Шевченківський,nan,nan,nan,nan,nan,28,1,7,8,nan,13500
Галицький,nan, люкс,nan,nan,nan,120,3,2,3, Польський люкс,17300
Франківський,nan, відмінний,nan,nan,nan,70,2,8,10,nan,18100
Шевченківський,nan,nan,1,nan,nan,68,2,2,5,nan,20000
Личаківський,nan,nan,nan,nan,nan,30,1,1,5,nan,11000
Шевченківський,nan, люкс,nan,nan,nan,57,1,5,13,nan,23100
Залізничний, цегла, відмінний,1,11,nan,64,2,7,10,nan,15000
Шевченківський,nan, люкс,nan,nan,nan,58,2,1,7,nan,21200
Галицький,nan, відмінний,nan,nan,nan,35,1,2,4, Австрійський,12000
Галицький, цегла, відмінний,1,10,nan,100,4,3,3, Австрійський,38500
Галицький,nan, відмінний,nan,nan,nan,45,1,2,3, Польський,19300
Шевченківський,nan, люкс,nan,nan,nan,45,1,9,9,nan,26600
Сихівський,nan, люкс,1,15,19,52,1,8,11,nan,14200
Сихівський,nan, відмінний,1,nan,nan,45,1,10,10,nan,18000
Шевченківський,nan, люкс,1,nan,nan,65,2,8,10,nan,19000
Франківський,nan, люкс,1,14,22,65,1,1,4,nan,14000
Франківський, цегла, відмінний,nan,12,30,55,2,4,4, Польський люкс,17300
Личаківський, цегла,nan,2,6,42,58,3,5,5, Хрущовка,8500
Франківський, цегла, відмінний,1,18,15,44,1,2,3, Польський,19300
Франківський,nan,nan,1,nan,nan,48,1,8,10,nan,15000
Галицький,nan, люкс,1,nan,nan,50,1,8,12,nan,30800
Галицький, цегла, відмінний,1,7,30,46,2,3,5,nan,17500
Шевченківський,nan, люкс,nan,13,nan,94,3,7,11,nan,27000
Сихівський, цегла, відмінний,2,nan,nan,72,3,5,5, Хрущовка,20000
Залізничний,nan, люкс,3,nan,nan,99,3,8,11,nan,32700
Франківський, цегла, відмінний,1,11,16,39,1,6,10,nan,15400
Франківський,nan, відмінний,nan,nan,nan,40,1,3,12,nan,17300
Франківський,nan,nan,1,nan,nan,70,2,6,9,nan,18000
Франківський,nan,nan,1,7,nan,16,1,4,5,nan,3000
Сихівський,nan, люкс,nan,nan,nan,47,1,5,10,nan,17300
Шевченківський, цегла, люкс,nan,15,nan,55,2,1,14,nan,18000
Галицький, цегла,nan,1,8,33,41,1,5,5, Сталінка,12300
Шевченківський,nan,nan,nan,nan,nan,37,1,7,9,nan,11000
Личаківський, цегла, відмінний,1,12,nan,41,1,7,10,nan,13000
Шевченківський,nan, люкс,1,nan,nan,52,2,2,10,nan,13500
Шевченківський,nan,nan,1,nan,nan,68,2,2,5,nan,20000
Шевченківський,nan, люкс,1,nan,nan,44,1,3,5,nan,23100
Личаківський,nan,nan,nan,nan,nan,30,1,1,5,nan,11000
Галицький,nan, люкс,nan,nan,nan,75,3,1,3, Австрійський,27000
Шевченківський, цегла, відмінний,1,13,nan,75,2,5,9,nan,20400
Франківський,nan,nan,nan,nan,nan,45,1,2,10,nan,13000
Шевченківський,nan,nan,nan,nan,nan,28,1,7,8,nan,13500
Галицький,nan, люкс,nan,nan,nan,120,3,2,3, Польський люкс,17300
Франківський,nan, відмінний,nan,nan,nan,70,2,8,10,nan,18100
Шевченківський,nan,nan,1,nan,nan,68,2,2,5,nan,20000
Личаківський,nan,nan,nan,nan,nan,30,1,1,5,nan,11000
Шевченківський,nan, люкс,nan,nan,nan,57,1,5,13,nan,23100
Залізничний, цегла, відмінний,1,11,nan,64,2,7,10,nan,15000
Шевченківський,nan, люкс,nan,nan,nan,58,2,1,7,nan,21200
Галицький,nan, відмінний,nan,nan,nan,35,1,2,4, Австрійський,12000
Залізничний,nan, люкс,3,nan,nan,99,3,8,11,nan,32700
Франківський, цегла, відмінний,2,23,100,150,4,4,5, Польський люкс,30800
Галицький, цегла, люкс,1,nan,35,45,1,9,12,nan,28900
Франківський, цегла, люкс,1,30,15,59,1,10,12,nan,23100
Галицький,nan, відмінний,nan,nan,nan,20,1,1,4, Будівля старого Львова,15000
Галицький, цегла, відмінний,nan,nan,nan,25,1,1,4, Будівля старого Львова,15000
Залізничний,nan, відмінний,2,nan,nan,74,2,3,5,nan,15000
Франківський, цегла, відмінний,2,11,45,72,3,2,5, Чешка,19300
Личаківський,nan,nan,nan,nan,nan,30,1,1,5,nan,11000
Шевченківський,nan, люкс,nan,nan,nan,57,1,5,13,nan,23100
Залізничний, цегла, відмінний,1,11,nan,64,2,7,10,nan,15000
Шевченківський,nan, люкс,nan,nan,nan,58,2,1,7,nan,21200
Галицький,nan, відмінний,nan,nan,nan,35,1,2,4, Австрійський,12000
Галицький, цегла, відмінний,1,10,nan,100,4,3,3, Австрійський,38500
Галицький,nan, відмінний,nan,nan,nan,45,1,2,3, Польський,19300
Шевченківський,nan, люкс,nan,nan,nan,45,1,9,9,nan,26600
Сихівський,nan, люкс,1,15,19,52,1,8,11,nan,14200
Сихівський,nan, відмінний,1,nan,nan,45,1,10,10,nan,18000
Шевченківський,nan, люкс,1,nan,nan,65,2,8,10,nan,19000
Франківський,nan, люкс,1,14,22,65,1,1,4,nan,14000
Франківський, цегла, відмінний,nan,12,30,55,2,4,4, Польський люкс,17300
Шевченківський,nan, відмінний,1,15,22,55,1,6,10,nan,11500
Галицький, цегла, відмінний,1,6,nan,40,1,5,5,nan,10000
Шевченківський, цегла, відмінний,1,nan,nan,64,2,7,10,nan,19000
Шевченківський,nan, люкс,nan,nan,nan,61,2,4,10,nan,25000
Сихівський, цегла, середній,1,nan,nan,48,2,3,5, Хрущовка,13000
Франківський,nan,nan,nan,nan,nan,43,2,7,11,nan,16000
Галицький, цегла, люкс,nan,18,52,70,2,2,4, Австрійський,15400
Сихівський, цегла, люкс,1,21,17,45,1,21,25,nan,23100
Франківський, цегла, відмінний,2,nan,nan,80,4,7,9, Чешка,15400
Сихівський, цегла, відмінний,2,nan,nan,50,1,2,7,nan,19300
Галицький, цегла, відмінний,1,6,20,35,1,2,4, Австрійський люкс,19300
Галицький, цегла, відмінний,nan,10,15,40,1,1,3, Австрійський,15500
Личаківський, цегла, відмінний,1,11,27,52,1,9,11,nan,12500
Личаківський, цегла,nan,2,6,42,58,3,5,5, Хрущовка,8500
Франківський, цегла, відмінний,1,18,15,44,1,2,3, Польський,19300
Франківський,nan,nan,1,nan,nan,48,1,8,10,nan,15000
Галицький,nan, люкс,1,nan,nan,50,1,8,12,nan,30800
Галицький, цегла, відмінний,1,7,30,46,2,3,5,nan,17500
Шевченківський,nan, люкс,nan,13,nan,94,3,7,11,nan,27000
Сихівський, цегла, відмінний,2,nan,nan,72,3,5,5, Хрущовка,20000
Франківський, цегла, відмінний,2,nan,nan,80,4,7,9, Чешка,15400
Сихівський, цегла, відмінний,2,nan,nan,50,1,2,7,nan,19300
Галицький, цегла, відмінний,1,6,20,35,1,2,4, Австрійський люкс,19300
Галицький, цегла, відмінний,nan,10,15,40,1,1,3, Австрійський,15500
Сихівський, цегла, відмінний,1,nan,nan,56,1,2,7,nan,13500
Шевченківський,nan, відмінний,1,nan,nan,42,1,2,10,nan,13500
Галицький, цегла, відмінний,1,15,nan,42,1,6,10,nan,14000
Шевченківський,nan, відмінний,1,7,37,60,3,6,9, Чешка,15000
Франківський,nan, люкс,nan,nan,nan,60,1,10,15,nan,25000
Личаківський, цегла, середній,1,10,23,33,1,3,5, Хрущовка,4000
Шевченківський,nan, відмінний,nan,18,23,41,1,4,6,nan,25000
Шевченківський,nan, відмінний,nan,nan,nan,43,1,7,9,nan,23100
Залізничний, цегла, відмінний,1,14,40,75,2,2,10,nan,17300
Галицький,nan, люкс,nan,nan,nan,42,1,3,3, Австрійський,23100
