district,price,room,area,floor,age,status,balcony,area_kitchen,area_living
5.0,25350,2,68.0,4,3,3.0,0.0,15.0,40.0
4.0,19500,2,55.0,2,3,2.0,0.0,15.0,39.0
4.0,19500,2,65.0,5,3,2.0,0.0,15.0,40.0
1.0,15600,1,53.0,1,3,2.0,0.0,16.0,27.0
5.0,19500,1,51.0,5,3,2.0,0.0,16.0,27.0
3.0,27300,2,100.0,2,3,3.0,1.0,17.0,43.0
6.0,18000,2,62.0,7,3,2.0,0.0,15.0,39.0
5.0,19500,1,44.0,2,3,2.0,0.0,16.0,26.0
5.0,19500,1,53.0,5,3,2.0,0.0,16.0,27.0
3.0,29250,1,45.0,9,3,3.0,0.0,16.0,26.0
1.0,14820,1,45.0,3,3,2.0,0.0,16.0,26.0
5.0,15000,1,48.0,8,3,2.0,0.0,16.0,26.0
4.0,21450,1,50.0,10,3,3.0,0.0,16.0,27.0
3.0,25350,1,54.0,8,3,3.0,0.0,16.0,27.0
3.0,19500,1,52.0,7,3,2.0,0.0,16.0,27.0
2.0,19500,1,50.0,9,3,3.0,0.0,16.0,27.0
5.0,15000,1,44.0,4,3,2.0,0.0,16.0,26.0
3.0,18000,2,75.0,8,3,2.0,0.0,16.0,41.0
6.0,21450,2,72.0,8,3,2.0,0.0,16.0,40.0
4.0,14500,1,45.0,5,3,2.0,0.0,16.0,26.0
3.0,23400,2,67.0,8,3,2.0,0.0,15.0,40.0
4.0,25350,2,110.0,2,3,3.0,1.0,17.0,44.0
4.0,25350,3,110.0,2,3,3.0,0.0,16.0,56.0
3.0,35100,3,99.0,8,3,3.0,0.0,16.0,55.0
4.0,18000,3,100.0,1,3,3.0,0.0,16.0,55.0
5.0,27300,2,79.0,5,3,3.0,0.0,16.0,41.0
5.0,14000,1,45.0,6,3,2.0,0.0,16.0,26.0
5.0,19500,1,46.0,1,3,3.0,0.0,16.0,26.0
5.0,27300,2,70.0,16,3,3.0,0.0,16.0,40.0
3.0,22000,2,70.0,3,3,3.0,0.0,16.0,40.0
1.0,19000,1,50.0,3,3,3.0,0.0,16.0,27.0
3.0,25350,2,68.0,2,3,3.0,0.0,15.0,40.0
4.0,19500,1,50.0,3,3,3.0,0.0,16.0,27.0
6.0,19500,2,80.0,2,3,2.0,0.0,16.0,41.0
5.0,29250,2,70.0,2,3,3.0,0.0,16.0,40.0
3.0,31200,4,160.0,10,3,3.0,0.0,17.0,72.0
4.0,30810,2,60.0,2,3,3.0,0.0,15.0,39.0
4.0,18000,1,48.0,2,3,2.0,0.0,16.0,26.0
1.0,15000,1,43.0,4,3,2.0,0.0,16.0,26.0
1.0,39000,3,92.0,4,3,3.0,0.0,15.0,54.0
5.0,19500,1,54.0,10,3,2.0,0.0,16.0,27.0
5.0,18000,2,70.0,6,3,2.0,0.0,16.0,40.0
4.0,19500,1,42.0,5,3,2.0,0.0,16.0,26.0
6.0,23400,2,64.0,3,3,2.0,0.0,15.0,40.0
3.0,21450,1,45.0,3,3,3.0,0.0,16.0,26.0
6.0,17550,1,45.0,6,3,2.0,0.0,16.0,26.0
4.0,19500,1,50.0,2,3,2.0,0.0,16.0,27.0
3.0,27300,2,90.0,3,3,3.0,1.0,16.0,42.0
4.0,18000,1,55.0,3,3,2.0,0.0,16.0,27.0
1.0,16000,2,75.0,3,3,3.0,0.0,16.0,41.0
1.0,19500,2,80.0,2,3,3.0,0.0,16.0,41.0
3.0,19000,2,65.0,8,3,2.0,0.0,15.0,40.0
6.0,23400,2,56.0,7,3,2.0,0.0,15.0,39.0
3.0,31200,2,78.0,5,3,3.0,0.0,16.0,41.0
3.0,17000,1,90.0,4,3,2.0,1.0,17.0,31.0
5.0,25000,3,90.0,1,3,2.0,0.0,15.0,54.0
5.0,15000,1,50.0,11,3,2.0,0.0,16.0,27.0
3.0,19500,2,75.0,4,3,2.0,0.0,16.0,41.0
3.0,17550,1,42.0,2,3,2.0,0.0,16.0,26.0
3.0,23400,1,55.0,11,3,2.0,0.0,16.0,27.0
3.0,13000,2,68.0,6,3,2.0,0.0,15.0,40.0
4.0,27300,2,80.0,3,3,3.0,0.0,16.0,41.0
4.0,14500,1,45.0,7,3,2.0,0.0,16.0,26.0
2.0,35100,4,136.0,3,3,2.0,0.0,16.0,70.0
3.0,23400,1,45.0,8,3,3.0,0.0,16.0,26.0
3.0,18000,2,55.0,1,3,2.0,0.0,15.0,39.0
4.0,12000,1,45.0,1,3,2.0,0.0,16.0,26.0
5.0,14000,1,50.0,11,3,2.0,0.0,16.0,27.0
6.0,20280,1,48.0,5,3,2.0,0.0,16.0,26.0
1.0,27300,2,65.0,8,3,3.0,1.0,15.0,40.0
2.0,58500,2,140.0,4,3,3.0,0.0,18.0,48.0
5.0,23400,2,71.0,10,3,3.0,0.0,16.0,40.0
6.0,15000,1,43.0,6,3,2.0,0.0,16.0,26.0
3.0,15000,1,50.0,4,3,2.0,0.0,16.0,27.0
3.0,25350,2,70.0,5,3,3.0,0.0,16.0,40.0
4.0,15000,1,46.0,7,3,2.0,0.0,16.0,26.0
5.0,14000,1,45.0,5,3,2.0,0.0,16.0,26.0
5.0,19500,1,50.0,4,3,2.0,0.0,16.0,27.0
4.0,14000,3,87.0,3,3,2.0,0.0,15.0,53.0
5.0,17550,1,63.0,8,3,2.0,0.0,16.0,28.0
3.0,39000,3,86.0,4,3,3.0,0.0,15.0,53.0
1.0,50700,4,180.0,4,3,3.0,0.0,18.0,75.0
3.0,19500,1,50.0,5,3,3.0,0.0,16.0,27.0
2.0,17550,2,67.0,7,3,2.0,0.0,15.0,40.0
5.0,27300,3,95.0,8,3,2.0,0.0,15.0,54.0
3.0,23000,2,65.0,5,3,2.0,0.0,15.0,40.0
6.0,15500,1,44.0,4,3,2.0,0.0,16.0,26.0
1.0,17550,2,70.0,6,3,2.0,0.0,16.0,40.0
3.0,18000,1,50.0,9,3,2.0,0.0,16.0,27.0
